# University Ranking Results - www.universityrankings.ch
# Ranking: Shanghai
# Year: 2024
#
   #    World Rank   ,  Institution   ,  Country   ,   
    1  ,   Harvard University   ,USA   
    2  ,   Stanford University   ,USA   
    3  ,   Massachusetts Institute of Technology - MIT   ,USA   
    4  ,   University of Cambridge   ,UK   
    5  ,   University of California - Berkeley   ,USA   
    6  ,   University of Oxford   ,UK   
    7  ,   Princeton University   ,USA   
    8  ,   California Institute of Technology - Caltech   ,USA   
    8  ,   Columbia University   ,USA   
    10  ,   University of Chicago   ,USA   
    11  ,   Yale University   ,USA   
    12  ,   Université Paris-Saclay   ,France   
    12  ,   Cornell University   ,USA   
    14  ,   University of Pennsylvania   ,USA   
    15  ,   University of California - Los Angeles   ,USA   
    16  ,   University College London   ,UK   
    17  ,   Johns Hopkins University   ,USA   
    18  ,   University of California - San Diego   ,USA   
    18  ,   University of Washington   ,USA   
    20  ,   University of California - San Francisco   ,USA   
    21  ,   Swiss Federal Institute of Technology Zurich - ETHZ   ,Switzerland   
    22  ,   Tsinghua University   ,China   
    23  ,   Washington University in St. Louis   ,USA   
    24  ,   Peking University   ,China   
    25  ,   Imperial College London   ,UK   
    26  ,   University of Toronto   ,Canada   
    27  ,   Zhejiang University   ,China   
    28  ,   The University of Tokyo   ,Japan   
    29  ,   Rockefeller University   ,USA   
    30  ,   University of Michigan - Ann Arbor   ,USA   
    31  ,   New York University   ,USA   
    32  ,   University of Copenhagen   ,Denmark   
    33  ,   Northwestern University   ,USA   
    33  ,   PSL Research University Paris   ,France   
    35  ,   University of North Carolina at Chapel Hill   ,USA   
    36  ,   University of Wisconsin-Madison   ,USA   
    37  ,   University of Melbourne   ,Australia   
    38  ,   Shanghai Jiao Tong University   ,China   
    39  ,   Duke University   ,USA   
    40  ,   University of Edinburgh   ,UK   
    41  ,   Sorbonne University   ,France   
    42  ,   University of Science and Technology of China   ,China   
    43  ,   University of Munich   ,Germany   
    43  ,   Karolinska Institute   ,Sweden   
    45  ,   Kyoto University   ,Japan   
    45  ,   University of Texas at Austin   ,USA   
    47  ,   University of British Columbia   ,Canada   
    47  ,   Technical University of Munich   ,Germany   
    47  ,   University of Minnesota - Twin Cities   ,USA   
    50  ,   Fudan University   ,China   
    50  ,   University of Heidelberg   ,Germany   
    52  ,   University of Manchester   ,UK   
    53  ,   King's College London   ,UK   
    54  ,   University of Texas Southwestern Medical Center at Dallas   ,USA   
    55  ,   Swiss Federal Institute of Technology Lausanne - EPFL   ,Switzerland   
