# University Ranking Results - www.universityrankings.ch
# Ranking: Times
# Year: 2025
#
   #    World Rank   ,  Institution   ,  Country   ,   
    1  ,   University of Oxford   ,UK   
    2  ,   Massachusetts Institute of Technology - MIT   ,USA   
    3  ,   Harvard University   ,USA   
    4  ,   Princeton University   ,USA   
    5  ,   University of Cambridge   ,UK   
    6  ,   Stanford University   ,USA   
    7  ,   California Institute of Technology - Caltech   ,USA   
    8  ,   University of California - Berkeley   ,USA   
    9  ,   Imperial College London   ,UK   
    10  ,   Yale University   ,USA   
    11  ,   Swiss Federal Institute of Technology Zurich - ETHZ   ,Switzerland   
    12  ,   Tsinghua University   ,China   
    13  ,   Peking University   ,China   
    14  ,   University of Chicago   ,USA   
    14  ,   University of Pennsylvania   ,USA   
    16  ,   Johns Hopkins University   ,USA   
    17  ,   National University of Singapore   ,Singapore   
    18  ,   University of California - Los Angeles   ,USA   
    18  ,   Columbia University   ,USA   
    20  ,   Cornell University   ,USA   
    21  ,   University of Toronto   ,Canada   
    22  ,   University College London   ,UK   
    22  ,   University of Michigan - Ann Arbor   ,USA   
    24  ,   Carnegie Mellon University   ,USA   
    25  ,   University of Washington   ,USA   
    26  ,   Technical University of M�nchen   ,Germany   
    27  ,   Duke University   ,USA   
    28  ,   The University of Tokyo   ,Japan   
    29  ,   University of Edinburgh   ,UK   
    30  ,   Nanyang Technological University   ,Singapore   
    31  ,   Northwestern University   ,USA   
    32  ,   Swiss Federal Institute of Technology Lausanne - EPFL   ,Switzerland   
    33  ,   New York University   ,USA   
    34  ,   University of California - San Diego   ,USA   
    35  ,   University of Hong Kong   ,Hong Kong   
    36  ,   Fudan University   ,China   
    36  ,   King's College London   ,UK   
    38  ,   University of M�nchen   ,Germany   
    39  ,   University of Melbourne   ,Australia   
    40  ,   Georgia Institute of Technology   ,USA   
    41  ,   University of British Columbia   ,Canada   
    42  ,   PSL Research University Paris   ,France   
    43  ,   Catholic University of Leuven   ,Belgium   
    44  ,   Chinese University of Hong Kong   ,Hong Kong   
    45  ,   McGill University   ,Canada   
    46  ,   University of Illinois at Urbana-Champaign   ,USA   
    47  ,   Zhejiang University   ,China   
    47  ,   University of Heidelberg   ,Germany   
    49  ,   Karolinska Institute   ,Sweden   
    50  ,   London School of Economics   ,UK   
    50  ,   University of Texas at Austin   ,USA   
    52  ,   Shanghai Jiao Tong University   ,China   
    53  ,   University of Science and Technology of China   ,China   
    53  ,   University of Manchester   ,UK   
    55  ,   Kyoto University   ,Japan   
    56  ,   Delft University of Technology   ,Netherlands   
    56  ,   University of Wisconsin-Madison   ,USA   
    58  ,   Monash University   ,Australia   
    58  ,   University of Amsterdam   ,Netherlands   
    58  ,   Brown University   ,USA   
    61  ,   University of Sydney   ,Australia   
    62  ,   Seoul National University   ,South Korea   
    62  ,   University of California - Davis   ,USA   
    64  ,   Universit� Paris-Saclay   ,France   
    65  ,   Nanjing University   ,China   
    66  ,   Hong Kong University of Science and Technology   ,Hong Kong   
    67  ,   Wageningen University & Research Center   ,Netherlands   
    67  ,   University of California - Santa Barbara   ,USA   
    69  ,   Washington University in St. Louis   ,USA   
    70  ,   University of North Carolina at Chapel Hill   ,USA   
    71  ,   Institut Polytechnique de Paris   ,France   
    72  ,   University of Southern California   ,USA   
    73  ,   Australian National University   ,Australia   
    73  ,   University of Leiden   ,Netherlands   
    75  ,   Boston University   ,USA   
    76  ,   Sorbonne University   ,France   
    77  ,   University of Queensland   ,Australia   
    78  ,   University of Bristol   ,UK   
    79  ,   Purdue University   ,USA   
    80  ,   City University of Hong Kong   ,Hong Kong   
    80  ,   University of Groningen   ,Netherlands   
    82  ,   Korea Advanced Institute of Science and Technology   ,South Korea   
    83  ,   University of New South Wales   ,Australia   
    84  ,   Humboldt University of Berlin   ,Germany   
    84  ,   Hong Kong Polytechnic University   ,Hong Kong   
    84  ,   University of Massachusetts (System)   ,USA   
    87  ,   University of Glasgow   ,UK   
    87  ,   University of Minnesota - Twin Cities   ,USA   
    89  ,   University of Bonn   ,Germany   
    90  ,   University of California - Irvine   ,USA   
    90  ,   Vanderbilt University   ,USA   
    92  ,   RWTH Aachen University   ,Germany   
    93  ,   University of Birmingham   ,UK   
    93  ,   Charit� - University Medicine Berlin   ,Germany   
    95  ,   Lund University   ,Sweden   
    95  ,   KTH - Royal Institute of Technology   ,Sweden   
    97  ,   University of Copenhagen   ,Denmark   
    98  ,   University of Sheffield   ,UK   
    98  ,   Emory University   ,USA   
    100  ,   University of T�bingen   ,Germany   
    100  ,   Pennsylvania State University   ,USA   
    102  ,   Yonsei University   ,South Korea   
    102  ,   Sungkyunkwan University   ,South Korea   
    104  ,   University of Bern   ,Switzerland   
    104  ,   Free University of Berlin   ,Germany   
    106  ,   University of Warwick   ,UK   
    107  ,   University of Helsinki   ,Finland   
    107  ,   Erasmus University Rotterdam   ,Netherlands   
    107  ,   Moscow State University   ,Russia   
    110  ,   University of Vienna   ,Austria   
    110  ,   Aarhus University   ,Denmark   
    112  ,   University of Gent   ,Belgium   
    112  ,   University of Maryland at College Park   ,USA   
    112  ,   Rice University   ,USA   
    115  ,   University of Southampton   ,UK   
    116  ,   McMaster University   ,Canada   
    116  ,   University of Alberta   ,Canada   
    116  ,   University of Oslo   ,Norway   
    116  ,   Ohio State University   ,USA   
    120  ,   Tohoku University   ,Japan   
    121  ,   University of G�ttingen   ,Germany   
    122  ,   Michigan State University   ,USA   
    123  ,   University of Leeds   ,UK   
    124  ,   Technical University of Denmark   ,Denmark   
    125  ,   University of Montreal   ,Canada   
    126  ,   University of Basel   ,Switzerland   
    127  ,   University of Rochester   ,USA   
    128  ,   University of Adelaide   ,Australia   
    128  ,   University of Freiburg   ,Germany   
    130  ,   Uppsala University   ,Sweden   
    130  ,   University of Florida   ,USA   
    132  ,   University of Hamburg   ,Germany   
    132  ,   University of Maastricht   ,Netherlands   
    134  ,   University of Lausanne   ,Switzerland   
    134  ,   Wuhan University   ,China   
    136  ,   VU University Amsterdam   ,Netherlands   
    136  ,   University of Nottingham   ,UK   
    136  ,   University of Arizona   ,USA   
    139  ,   Trinity College Dublin   ,Ireland   
    140  ,   Technical University of Berlin   ,Germany   
    141  ,   Queen Mary - University of London   ,UK   
    141  ,   University of Pittsburgh   ,USA   
    143  ,   Radboud University of Nijmegen   ,Netherlands   
    143  ,   University of Colorado at Boulder   ,USA   
    143  ,   Texas A&M University   ,USA   
    146  ,   Beijing Normal University   ,China   
    146  ,   University of Bologna   ,Italy   
    146  ,   University of York   ,UK   
    149  ,   University of Western Australia   ,Australia   
    149  ,   University of Barcelona   ,Spain   
    151  ,   Pohang University of Science and Technology   ,South Korea   
    152  ,   Harbin Institute of Technology   ,China   
    152  ,   University of Auckland   ,New Zealand   
    154  ,   University of Technology Sydney   ,Australia   
    154  ,   Tongji University   ,China   
    154  ,   Scuola Normale Superiore di Pisa   ,Italy   
    157  ,   University of Cologne   ,Germany   
    157  ,   Newcastle University - Newcastle-upon-Tyne   ,UK   
    159  ,   Case Western Reserve University   ,USA   
    160  ,   Technical University of Dresden   ,Germany   
    160  ,   University of Liverpool   ,UK   
    162  ,   Osaka University   ,Japan   
    163  ,   University of Waterloo   ,Canada   
    163  ,   University of W�rzburg   ,Germany   
    163  ,   University of Virginia   ,USA   
    166  ,   Huazhong University of Science and Technology   ,China   
    166  ,   Karlsruhe Institute of Technology   ,Germany   
    168  ,   University of Antwerp   ,Belgium   
    168  ,   Lancaster University   ,UK   
    168  ,   Dartmouth College   ,USA   
    171  ,   University of Geneva   ,Switzerland   
    172  ,   National Taiwan University   ,Taiwan   
    172  ,   University of Durham   ,UK   
    172  ,   University of Exeter   ,UK   
    175  ,   Catholic University of Louvain   ,Belgium   
    176  ,   University Pompeu Fabra   ,Spain   
    176  ,   King Fahd University of Petroleum & Minerals   ,Saudi Arabia   
    178  ,   Macquarie University   ,Australia   
    179  ,   Tufts University   ,USA   
    180  ,   University of Macau   ,Macao   
    180  ,   University of Twente   ,Netherlands   
    180  ,   University of Cape Town   ,South Africa   
    183  ,   Southern University of Science and Technology   ,China   
    183  ,   Paris Cit� University   ,France   
    185  ,   University of Rome - La Sapienza   ,Italy   
    185  ,   Eindhoven University of Technology   ,Netherlands   
    185  ,   University of St. Andrews   ,UK   
    188  ,   University of M�nster   ,Germany   
    189  ,   Korea University   ,South Korea   
    189  ,   Indiana University at Bloomington   ,USA   
    191  ,   Abu Dhabi University   ,United Arab Emirates   
    191  ,   University of Ottawa   ,Canada   
    191  ,   Stockholm University   ,Sweden   
    191  ,   University of Leicester   ,UK   
    195  ,   Tokyo Institute of Technology   ,Japan   
    196  ,   University of California - Santa Cruz   ,USA   
    196  ,   University of Notre Dame   ,USA   
    196  ,   Aalto University   ,Finland   
    199  ,   University of Sao Paulo   ,Brazil   
    199  ,   University of Mannheim   ,Germany   
    199  ,   University of Ulm   ,Germany   
    199  ,   Autonomous University of Barcelona   ,Spain   
    201-250  ,   Medical University of Graz   ,Austria   
    201-250  ,   Medical University of Vienna   ,Austria   
    201-250  ,   Deakin University   ,Australia   
    201-250  ,   Queensland University of Technology   ,Australia   
    201-250  ,   University of Wollongong   ,Australia   
    201-250  ,   Universit� Libre de Bruxelles   ,Belgium   
    201-250  ,   Vrije Universiteit Brussel   ,Belgium   
    201-250  ,   University of Calgary   ,Canada   
    201-250  ,   Western University   ,Canada   
    201-250  ,   Beijing Institute of Technology   ,China   
    201-250  ,   Nankai University   ,China   
    201-250  ,   Sichuan University   ,China   
    201-250  ,   Tianjin University   ,China   
    201-250  ,   Xi'an Jiaotong University   ,China   
    201-250  ,   University of Erlangen-N�rnberg   ,Germany   
    201-250  ,   University of Jena   ,Germany   
    201-250  ,   University of Frankfurt am Main   ,Germany   
    201-250  ,   University of Potsdam   ,Germany   
    201-250  ,   University College Dublin   ,Ireland   
    201-250  ,   Tel Aviv University   ,Israel   
    201-250  ,   Sant'Anna School of Advanced Studies   ,Italy   
    201-250  ,   Polytechnic University of Milan   ,Italy   
    201-250  ,   University of Padua   ,Italy   
    201-250  ,   Nagoya University   ,Japan   
    201-250  ,   Sejong University   ,South Korea   
    201-250  ,   University of Luxembourg   ,Luxembourg   
    201-250  ,   University of Technology - Petronas   ,Malaysia   
    201-250  ,   University of Qatar   ,Qatar   
    201-250  ,   Chalmers University of Technology   ,Sweden   
    201-250  ,   G�teborg University   ,Sweden   
    201-250  ,   Linkoping University   ,Sweden   
    201-250  ,   Cardiff University   ,UK   
    201-250  ,   Queen's University Belfast   ,UK   
    201-250  ,   University of Aberdeen   ,UK   
    201-250  ,   University of Reading   ,UK   
    201-250  ,   University of Surrey   ,UK   
    201-250  ,   University of Sussex   ,UK   
    201-250  ,   Arizona State University   ,USA   
    201-250  ,   George Washington University   ,USA   
    201-250  ,   Georgetown University   ,USA   
    201-250  ,   University of Miami   ,USA   
    201-250  ,   University of Illinois at Chicago   ,USA   
    201-250  ,   Northeastern University   ,USA   
    201-250  ,   University of Utah   ,USA   
